x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,data_quality
1.65,1.75,5.96,4.08,8.99,0.85,1.71,1.1,0.86,0.6,0.51,0.63,0.32,8.05,1.67,1
0.95,1.38,6.54,4,6.42,1.35,1.19,0.73,1.41,0.64,0.73,1.06,0.74,3.73,1.24,1
0.76,0.97,6.52,3.86,6.45,2.38,0.7,1.23,0.46,0.43,0.44,0.57,0.36,11.02,1.89,1
3.79,1.32,4.13,3.2,8.1,1.15,1.41,1.11,0.67,0.6,0.51,0.51,0.31,1,0.5,1
1.15,2.11,14.53,6.03,12.33,1.8,1.4,1.37,1.07,0.7,0.81,0.47,0.61,7.68,1.04,1
0.68,0.85,5.99,3.18,5.8,2.49,0.77,1.34,0.5,0.5,0.45,0.62,0.37,5.51,1.85,1
0.96,1.04,5.76,2.82,3.87,1.2,0.69,0.71,0.67,0.34,0.38,0.27,0.31,0.45,0.83,1
0.93,1.22,14.32,2.91,10.36,1.22,1.35,1.34,1.1,0.73,0.73,0.7,0.66,13.97,1.05,1
2.17,3.58,17.2,12.68,22.13,3.02,2.04,2.76,3.69,2.15,2.16,1.49,0.83,8.31,2.08,1
2.09,2.86,7.76,7.93,11.68,2.5,1.5,2.21,2.8,1.37,1.41,1.01,1.38,10.81,2.31,1
0.68,0.9,5.77,3.53,6.77,2.68,0.7,1.29,0.54,0.45,0.42,0.72,0.37,10.1,1.84,1
5.64,3.84,12.5,11.58,17.97,4.09,1.76,3.49,4.13,2.72,2.2,1.79,1.99,12,2.56,1
0.93,1.49,10.6,3.47,11.53,3.21,1.03,1.32,1.16,1.29,1.46,0.96,0.51,9.09,0.86,1
3.61,1.75,15.02,8.79,18.05,6.01,2.22,3.84,6.14,3.97,2.19,1.37,0.79,7.22,1.87,1
0.89,1.7,12.57,4.16,13.28,1.75,1.47,1.54,1.26,0.86,1.19,0.51,0.58,13.97,0.77,1
1.15,1.82,8.06,3.65,8.23,1.81,1.19,1.02,1.64,1.06,0.97,0.56,0.54,8.39,1.1,1
1.08,1.78,6.82,4.93,8.05,1.54,1.01,0.97,0.97,0.72,0.86,0.71,0.73,7.69,1.57,1
1.54,3.68,5.46,8.61,16.6,4.5,0.76,3.47,3.34,2.5,2.17,1.18,0.48,10.02,0.78,0
0.7,1.22,11.17,2.91,9.78,0.84,1.35,0.7,0.7,0.42,0.42,0.21,0.42,13.97,0.7,0
0.71,1.45,17.46,2.28,10.71,0.98,0.93,0.84,0.87,0.58,0.48,0.33,0.56,11.87,0.93,1
3.73,2.98,12.21,10.47,16.15,5.15,1.58,3.15,3.78,1.9,2.08,1.66,2.02,13.99,2.75,1
0.91,1.84,9.54,3.56,12.5,1.68,1.28,1.29,1.05,0.63,1.19,0.47,0.53,4.89,0.72,1
0.99,1.48,10.48,3.48,10.22,2.67,1.07,1.53,1.14,0.98,1.13,0.76,0.57,7.07,0.8,1
0.89,1.79,5.59,4.16,13.28,1.75,1.47,1.54,1.26,0.86,1.19,0.51,0.58,13.97,0.7,0
0.7,0.94,6.05,3.26,5.75,2.14,0.66,1.27,0.56,0.41,0.41,0.58,0.36,7.65,2.11,1
1.33,1.7,9.75,3.49,8.85,2.47,1.49,2.79,1.38,0.99,0.93,0.88,0.62,15.54,2.45,1
0.79,1.48,3.9,3.58,5.19,1.9,0.73,0.93,0.89,0.76,0.7,0.55,0.56,8.15,0.71,1
0.72,1.04,6.08,3.56,6.19,1.9,0.57,1.04,0.6,0.35,0.45,0.76,0.35,9.49,1.86,1
0.77,1.68,13.97,2.83,11.53,1.82,1.41,1.79,1.28,0.72,0.98,0.48,0.5,11.17,0.77,0
1.08,1.83,7.68,3.61,11.48,1.42,1.57,1.96,1.38,0.99,1.18,0.91,0.52,12.57,0.7,1
0.88,1.42,10.48,2.76,11.17,1.36,0.7,1.19,0.88,0.56,0.7,0.56,0.56,5.59,0.47,0
0.83,1.98,7.68,4.75,9.78,2.23,1.56,1.16,1.07,0.7,0.88,0.7,0.53,9.78,0.91,0
0.58,1.07,14.32,2.91,6.29,1.16,0.84,1.34,0.79,0.37,0.35,0.7,0.56,11.17,0.77,0
0.87,1.34,8.85,4.19,9.65,1.67,0.96,0.96,0.87,0.62,0.38,0.37,0.79,15.36,0.77,0
0.61,1.68,5.59,3.77,9.78,1.63,1.4,1.44,1.16,0.97,0.84,0.68,0.69,10.41,0.84,0
0.93,1.89,8.79,4.03,3.84,2.95,1.11,1.17,1.12,0.84,1.08,0.77,0.47,6.43,0.99,1
1.41,2.79,9.42,5.52,10.4,1.63,1.37,1.55,1.76,1.15,1.13,1.01,1.07,4.93,1.26,1
2.01,3.4,24.25,9.29,23.46,4.5,2.45,3.65,3.02,2.6,2.66,1.57,1.6,19.21,1.83,1
0.88,1.42,13.62,2.76,13.27,1.36,1.16,1.75,1.47,1.12,0.86,0.72,0.6,9.08,0.47,1
1.64,1.51,10.43,3.18,8.24,1.29,1.42,1.4,1.12,0.49,0.59,0.77,0.57,11.17,0.54,1
2.21,2.74,6.79,7.52,12.07,2.12,1.66,1.63,2,1.26,1.17,1.03,0.62,5.32,1.95,1
1.08,1.83,7.68,3.61,11.48,1.42,1.57,1.96,1.38,0.99,1.18,0.91,0.52,12.57,0.7,0
0.42,1.01,9.78,2.37,6.77,1.26,0.7,0.98,1.35,0.98,1.33,0.7,0.58,11.17,0.7,0
1.05,1.95,20.13,4.69,14.05,1.99,1.64,1.44,1.18,0.97,1.09,0.68,0.69,10.41,0.87,1
1.22,1.31,9.78,5.68,13.04,2.23,0.7,2.14,1.12,0.49,1.4,0.79,0.58,11.17,1.12,0
5.48,3.92,12.08,16.04,14.84,6.72,1.93,4.86,5.05,3.38,3.17,1.92,1.89,12,2.25,1
1.75,1.68,14.43,5.27,10.3,1.61,0.98,1.47,1.58,0.91,1.16,0.65,0.7,8.38,0.7,0
1.21,1.64,4.28,4.13,9.96,0.85,0.96,0.89,0.61,0.6,0.51,0.73,0.52,12.3,1.52,1
0.93,1.5,13.97,3.91,11.41,2.23,1.5,1.58,1.44,0.52,0.98,0.34,0.49,8.03,0.56,0
1.2,2.38,10.5,7.34,11.9,2.09,1.88,1.71,1.9,1.25,1.4,1.04,0.72,5.19,1.03,1
2.12,2.02,6.1,5.73,6.21,4.93,0.78,1.98,2.01,1.52,1.27,0.97,0.59,15,1,1
0.7,1.34,9.54,3.56,11.17,1.12,1.12,0.98,0.7,0.56,0.7,0.47,0.42,4.89,0.72,0
0.56,1.16,2.33,3.66,7.35,1.13,0.63,0.39,0.4,0.3,0.26,0.16,0.22,7.33,1.15,1
4.46,3.46,13.21,14.47,14.9,5.19,1.5,4.68,5.35,3.54,2.99,1.95,1.74,15,2.73,1
4.11,3,10.4,13.17,16.23,4.77,1.93,4.68,4.18,3.55,2.9,1.73,2.27,12,3.1,1
0.81,1.34,11.23,4.11,11.36,1.26,1.58,1.35,1.25,0.65,0.53,0.44,0.54,12.57,0.63,1
0.53,0.95,4.77,2.54,6.65,1.29,0.61,0.71,0.42,0.34,0.39,0.59,0.32,4.59,2.36,0
1.22,1.31,9.78,5.68,13.04,2.23,0.7,2.14,1.12,0.49,1.4,0.79,0.58,11.17,1.12,0
0.56,1.79,5.59,5.59,14.9,1.68,2.44,4.19,1.4,1.4,2.23,1.4,0.42,13.97,0.7,0
1.54,1.39,11.62,5.8,4.64,2.33,0.92,1.8,0.95,0.91,0.98,0.62,0.74,10.82,1.96,1
0.81,1.34,11.23,4.11,11.36,1.26,1.58,1.35,1.25,0.65,0.53,0.44,0.54,12.57,0.63,0
1.51,1.68,6.37,6.9,10.27,2.52,1.26,1.2,1.28,1.53,1.26,0.83,0.93,10.38,1.28,1
3.28,3.15,11.94,9.11,14.17,4.47,1.24,3.28,3.23,2.21,2.19,1.57,2.08,12,2.87,1
4.57,2.86,12.34,10.83,13.32,5.17,1.55,5.3,4.5,3.13,2.42,1.74,2.01,10,3.02,1
2.85,2.95,11.53,12.18,12.6,3.2,1.28,3.19,3.41,2.78,2.38,2.34,1.68,11.91,2.31,1
1.43,3.79,24.68,5.85,19.6,2.82,2.52,3.84,1.97,1.32,1.48,1.38,0.97,18.86,0.82,1
0.66,1.79,8.03,3.77,8.59,1.77,0.84,1.35,1.68,0.91,0.77,0.84,0.61,13.97,0.7,0
4.53,3.48,13.85,11.91,16.56,5.52,1.97,5.53,6.4,3.41,3.1,2.31,2.2,15,3.11,1
2.7,2.78,19.61,8.63,20.49,3.69,2.58,3.7,2.88,2.18,2.13,1.81,1.39,21.84,4.47,1
0.68,1.34,8.85,4.96,9.65,1.67,0.96,0.96,0.87,0.62,0.38,0.37,0.79,15.36,0.6,0
0.84,1.56,10.43,5.1,15.83,2.2,1.4,1.43,1.26,0.63,0.91,0.42,0.65,19.21,1.26,1
1.8,1.72,7.77,3.49,7.77,1.29,0.91,0.69,1.35,0.77,0.79,0.45,0.57,7.45,1.11,1
0.81,2.22,4.19,2.79,9.08,0.84,0.49,0.7,0.42,0.42,0.7,0.14,0.91,9.22,0.77,0
0.69,0.9,5.4,3.26,9.79,1.53,0.51,1.03,0.52,0.36,0.44,0.57,0.32,13.77,2.67,1
0.62,1.1,2.69,3.64,7.24,1.08,0.62,0.4,0.36,0.34,0.26,0.23,0.21,6.31,1.34,1
1.85,3.67,7.66,7.81,13.36,2.84,2.34,2.42,5.12,2.3,2.05,2.54,1.41,10.73,4.1,1
1.33,2.59,12.13,7.34,11.97,2.04,1.96,1.8,2.28,1.38,1.5,1.05,0.8,6.23,1.14,1
4.04,3.45,16.08,12.83,15.78,4.74,1.51,4.99,5.7,2.69,3.21,2.32,2.17,16.5,1.98,1
0.84,1.34,8.85,4.19,9.65,1.67,0.96,0.96,0.7,0.62,0.38,0.28,0.42,15.36,0.77,0
0.87,1.34,8.85,4.19,9.65,1.67,0.96,0.96,0.87,0.62,0.38,0.37,0.79,15.36,0.77,0
0.84,1.56,10.43,4.19,7.33,1.63,1.4,1.43,0.98,0.63,0.42,0.42,0.65,19.21,0.28,0
2.13,3.58,8.76,8.21,13.39,2.91,2.4,2.36,5.03,2.39,2.04,3.02,1.51,13.41,3.86,1
0.88,1.73,18.58,3.51,10.1,1.19,1.07,1.42,0.88,0.58,0.77,0.72,0.58,8.38,0.61,0
1.51,2.14,6.76,4.57,7.19,1.61,1.46,1.55,1.52,1.4,1.22,1.02,0.98,4.68,1.45,1
0.91,1.34,6.98,2.86,6.29,2.1,1.68,0.98,0.7,0.56,0.63,0.49,0.7,20.95,0.56,0
0.84,1.76,13.27,3.07,11.13,2.23,1.96,2.46,1.12,0.81,1.2,0.49,0.98,6.98,0.47,0
0.93,1.22,14.32,2.91,10.36,1.22,1.35,1.34,1.1,0.73,0.73,0.7,0.66,13.97,1.05,0
1.38,1.18,7.47,5.38,7.26,1.14,1.09,0.53,0.57,0.45,0.42,0.3,0.53,7.44,1.89,1
1.21,1.18,3.33,2.49,5.3,0.72,0.9,1.09,0.48,0.29,0.23,0.22,0.32,11.11,0.85,1
4.21,3.55,11.55,10.22,15.16,4.59,1.51,3.73,4.1,2.89,2.64,1.64,2.54,15,2.71,1
0.84,1.31,9.78,2.79,13.04,0.84,0.7,2.14,1.12,0.14,1.4,0.79,0.49,11.17,0.7,0
0.84,1.54,10.43,3.79,12.85,2.12,1.16,1.43,1.69,0.63,1.22,1.07,0.5,12.57,0.77,0
1.67,1.97,7.43,6.17,11.59,2.05,1.78,1.54,0.75,0.96,0.74,0.65,0.56,21.16,5.1,1
1.08,1.83,7.68,3.61,11.48,1.42,1.57,1.96,1.38,0.99,1.18,0.91,0.52,12.57,0.7,0
0.56,0.84,13.97,2.79,9.78,1.4,1.12,0.84,0.7,0.56,0.56,0.42,0.42,11.17,0.42,0
3.01,1.83,11.12,5.47,13.9,3.13,2.17,3.61,3.57,2.89,3.61,1.44,0.82,7.22,2.14,1
2.01,2.54,7.39,8.25,13.23,2.18,1.58,1.6,1.8,1.22,1.07,1.57,0.59,1.33,1.78,1
5.13,3.55,17.3,14.85,17.37,5.95,2.71,5.29,6.64,3.28,3.31,2.42,1.96,15,3.15,1
2.39,2.98,12.14,9.73,14.22,2.7,1.82,2.52,3.09,1.98,1.48,1.4,0.68,5.71,1.11,1
3.51,3.12,12.24,13.22,16.73,4.23,1.64,4.13,3.84,3.17,2.76,1.41,1.88,10,1.86,1
1.18,1.42,7.7,4.28,11.5,2.47,2.96,1.3,0.8,0.59,0.39,0.58,0.25,6.68,1.52,1
4.02,1.96,13.57,6.03,26.39,5.13,2.83,4.86,4.52,3.52,2.83,1.76,1,10.01,1.91,1
2.94,2.91,11.45,11.12,12.85,3.24,1.5,3.03,3.49,1.91,2,2.09,1.64,11.91,2.41,1
0.88,1.73,18.58,3.51,10.1,0.62,1.07,0.62,0.88,0.58,0.77,0.28,0.58,8.38,0.61,0
0.71,1.45,17.46,2.28,10.71,0.98,0.93,0.84,0.87,0.58,0.48,0.33,0.56,11.87,0.93,0
0.71,1.03,3.95,3.46,6.5,1.48,0.58,0.81,0.43,0.23,0.35,0.45,0.35,6.12,1.81,1
0.69,0.82,2.83,1.7,2.78,0.89,0.43,0.58,0.43,0.34,0.28,0.35,0.3,1.23,1.09,1
4.36,4.24,12.97,16.43,17.41,4.58,1.89,3.23,3.95,3.07,2.47,1.65,1.92,12,3.19,1
0.89,0.91,5.35,3.81,4.16,1.49,0.42,0.81,0.48,0.35,0.4,0.39,0.37,12.24,1.69,1
1.06,2.35,14.4,6.64,13.21,1.84,1.26,3.08,1.54,0.92,1.23,0.42,0.42,9.78,1.02,0
2.25,1.24,2.71,2.56,6.77,0.77,1.36,0.84,0.52,0.39,0.39,0.4,0.25,0.71,0.48,1
1.61,2,8.45,3.68,8.02,1.48,1.05,0.91,1.44,0.99,0.94,0.64,0.75,8.01,1.24,1
0.94,1.68,5.59,3.07,10.83,1.4,1.4,1.4,1.12,1.12,1.12,1.12,1.02,9.78,0.7,0
4.9,3.1,9.97,9.79,14.25,6.34,1.84,5.26,4.84,2.6,2.88,1.74,2,14,2.34,1
0.87,1.34,8.85,4.19,9.65,1.67,0.96,0.96,0.87,0.62,0.38,0.37,0.79,15.36,0.7,0
1.98,2.11,8.12,8.09,8.87,3.19,0.87,1.66,0.81,0.46,0.66,0.42,0.39,8.15,0.96,1
1.91,1.78,3.84,5.09,10.18,2.2,1.86,1.86,1.24,1.06,0.92,1.3,0.51,5.2,1.31,1
0.92,1.91,8.78,4.62,7.32,2.48,1.66,2.44,1.31,2.14,2.2,1.15,0.82,7.07,1.27,1
3.91,3.35,9.49,7.31,19.58,6.01,3.52,7.04,5.78,3.27,2.26,1.51,1.13,15.08,2.26,1
3.65,3.29,13.62,11.24,14.3,4.58,1.6,3.8,4.13,3.06,2.75,2.18,2.22,10,1.64,1
0.79,1.44,8.42,2.73,8.05,2.04,1.21,1.15,1.01,1.04,1.8,1,0.41,19.07,2.12,1
1.56,1.29,7.81,3.72,6.02,0.58,1.21,1.33,2.03,0.47,0.64,1.03,0.47,4.06,0.82,1
0.79,1.49,6.03,3.38,7.1,2.26,1.35,1.8,0.87,1.13,1.36,0.59,0.36,19.07,2.45,1
1.5,2.08,5.25,6.06,9.52,3.21,1.01,2.47,1.72,1.58,1.66,0.81,1,8.94,1.25,1
2.19,3.48,16.16,9.74,15.47,2.39,1.88,2.38,2.64,1.58,1.55,1.13,0.53,6.75,1.49,1
4.9,3.17,12.78,14.49,15.76,5.34,1.57,4.57,4.89,2.47,2.71,1.74,2.13,16.99,2.79,1
0.94,1.68,8.52,3.56,7.69,1.58,0.87,0.98,1.42,1.01,0.95,0.63,0.45,6.52,1.03,1
3.5,3.11,18.31,7.55,18.85,4.44,1.55,2.71,3.39,3.26,2.14,2.41,1.07,14.54,1.75,1
0.98,1.54,16.41,3.79,12.85,2.12,1.16,1.62,1.69,0.91,1.22,1.07,0.5,12.57,0.77,0
1.11,1.57,6.86,4.14,6.37,2.88,1.36,1.51,1.02,1.02,0.86,0.79,1.08,5.99,1.94,1
1.49,1.86,4.84,7.06,5.14,2.01,1.03,1.43,0.95,0.81,0.98,0.55,0.86,8,1.49,1
2.19,2.66,11.84,6.35,17.52,3.13,1.76,2.43,3.48,2.05,2.32,1.75,1.26,11.15,1.62,1
2.99,3.21,16.28,8.59,18.65,4.08,2.11,2.7,3.31,2.7,2.4,1.76,1.1,12.92,1.58,1
0.74,1.91,7.47,5.48,4.75,1.89,0.54,0.87,0.79,0.54,0.85,0.22,0.53,8.05,0.95,1
5.62,3.35,12.15,14.1,15.61,4.42,1.97,5.21,5.15,3.49,2.37,2,1.93,16,2.73,1
0.76,1.34,3.13,4.08,5.4,2.02,0.67,0.99,0.97,0.97,0.89,0.58,0.51,5.91,0.79,1
1.64,1.51,10.43,3.18,8.24,1.29,1.42,1.4,1.12,0.49,0.59,0.77,0.57,11.17,0.54,0
1.92,3.16,9.72,8.24,10.66,2.24,1.83,1.8,1.63,1.09,0.92,1.68,0.61,16.34,3.39,1
1.24,2.19,6.92,5.49,10.44,2.45,0.67,2.4,1.17,1.51,2.34,0.79,1.19,10.85,2.45,1
2.31,1.34,3.79,4.37,4.79,2.7,1.69,1.58,1.66,1.71,1.75,0.9,0.5,3.38,0.9,0
1.05,1.95,20.13,4.69,14.05,1.99,1.64,1.44,1.18,0.97,1.09,0.68,0.69,10.41,0.87,0
1.33,1.46,5.95,3.57,7.25,1.45,1.72,2.41,1.47,0.49,0.36,0.3,0.3,3.5,1.11,1
0.6,1.52,2.91,3.29,4.74,1.75,0.49,0.7,0.89,0.81,0.64,0.39,0.64,6.11,0.66,1
3.77,3.11,9.49,5.1,19.58,5.78,2.97,3.77,3.39,3.27,2.26,1.51,1.06,15.08,2.26,0
0.92,1.4,6.29,3.99,7.29,1.96,0.95,1.09,1.24,1.18,0.82,0.58,0.66,6.52,1.07,1
1.45,1.69,17.95,5.62,4.63,3.3,1.19,0.92,0.84,1.69,1.08,0.71,0.59,5.54,1.02,1
0.86,1.49,14.65,4.31,5.38,2.38,1.35,1.35,1.06,1.39,1.5,0.58,0.57,5.54,1.01,1
0.64,0.93,7.07,3.75,4.4,2.1,0.61,0.95,0.54,0.43,0.42,1.29,0.35,7.35,2.27,1
1.9,3.17,7.38,7.4,13.44,2.95,2.36,2.66,4.23,2.19,1.89,2.56,1.68,11.4,3.56,1
0.74,0.85,3.72,3.14,5.47,1.04,0.63,0.63,0.54,0.37,0.45,0.56,0.34,6.12,1.93,0
0.86,0.97,6.68,2.39,2.58,1.39,0.65,0.74,1.22,1.26,1,0.55,0.28,2.74,0.55,1
2.12,2.02,6.1,5.73,6.21,4.93,0.78,1.98,2.01,1.52,1.27,0.97,0.59,15,1,0
2.43,1.69,21.66,5.04,17.57,5.78,2.65,5.05,5.29,3.61,3.13,1.26,0.87,7.22,1.95,1
0.89,1.39,8.9,4.13,7.06,2.07,1.65,2.33,1.27,1.36,4.17,0.92,0.37,10.17,3.19,1
3.45,3.64,12.47,11.75,14.65,3.16,1.45,3.37,3.54,2.62,1.9,2.29,1.93,14.89,2.51,1
0.8,1.7,8.42,3.46,8.05,2.8,1.52,1.97,1.24,1.35,2.1,1.13,0.41,19.07,2.12,0
0.79,1.22,6.66,2.7,8.26,2.54,1.02,1.53,1.24,1.35,2.22,0.64,0.42,12.71,2.06,0
6.11,3.34,12.49,7.15,16.75,3.79,1.65,4.13,3.74,1.98,2.71,2.16,2,16,3.1,0
1.85,1.31,4.23,3.92,7.33,0.88,1.5,1.51,1.28,0.64,0.44,0.48,0.53,5.88,1.24,1
1.51,1.8,8.08,4.9,4.71,2.86,1.52,1.88,1.42,1.56,1.33,0.78,0.91,8.5,1.2,1
1.85,1.64,4.85,6.07,11.59,6.24,1.1,1.12,2.05,1.82,2.34,0.86,0.98,10,1.49,1
1,1.5,16.59,5.26,11.41,2.23,1.5,2.33,1.55,0.81,0.98,0.75,0.73,9.08,0.82,1
4.61,3.81,13,12.47,14.31,3.93,1.71,4.19,3.83,3.99,2.6,1.5,2.25,10.5,3.23,1
3.92,3,11.01,15.26,17.84,4.67,1.45,5.91,4.74,2.76,3.22,1.82,2.54,13.5,2.77,1
5.85,3.68,14.21,12.26,17.54,5.68,1.92,5.16,5.75,2.2,2.24,2.05,2.04,14,2.61,1
1.09,1.87,12.86,5.42,9.74,3.77,1.41,3.34,1.41,1.56,1.39,1.49,0.81,12,1.02,1
0.76,1.16,4.03,2.48,7.07,2.1,1.03,1.03,0.7,0.78,1.63,0.49,0.41,7.95,1.91,1
0.84,0.86,5.2,1.92,3.49,0.84,0.59,0.74,0.45,0.26,0.26,0.2,0.33,1.56,1.61,1
0.61,1.68,6.29,5.64,13.51,1.63,1.4,1.54,2.14,1.33,1.08,1.02,0.68,12.57,0.66,0
0.99,1.36,10.48,3.23,10.22,2.67,1.07,1.53,1.14,0.98,0.81,0.76,0.57,7.07,0.8,0
0.62,0.95,4.31,3.37,3.24,2.01,0.37,1.06,0.55,0.38,0.45,0.48,0.36,9.79,1.93,1
4.53,3.14,11.14,10.5,13.34,4.62,1.59,3.32,3.1,2.12,2.24,1.44,1.91,12.99,2.39,1
1.3,1.67,5.34,5.93,7.04,1.76,0.95,1.28,1.25,1.37,1.2,0.74,1,10,1.37,1
0.79,0.95,4.29,1.9,2.97,0.89,0.46,0.7,0.45,0.31,0.32,0.21,0.28,1.56,1.21,0
1.8,4.01,7.27,8.45,13.14,3.28,2.51,2.54,3.89,2.04,1.43,1.72,1.45,12.07,4.23,1
1.82,0.99,4.79,2.05,1.76,1.53,1.41,1.3,1.32,1.53,1.32,0.72,0.68,3.18,0.46,0
0.79,0.9,4.79,3.66,6.95,1.84,0.49,0.75,0.5,0.36,0.37,0.32,0.35,9.79,2.05,1
14.44,1.44,7.22,7.22,21.66,3.61,2.74,4.33,3.61,3.61,3.25,1.44,0.97,7.22,2.09,0
1.48,1.44,7.08,4.24,8.04,1.57,2.01,1.92,2.86,0.83,0.78,1.61,0.66,7.91,1.09,1
0.98,1.68,13.97,4.19,8.73,1.19,1.12,1.19,0.73,0.63,0.63,0.42,0.56,10.48,1.05,0
0.74,0.91,3.63,1.73,2.78,0.71,0.45,0.86,0.32,0.29,0.26,0.13,0.28,1.34,1.09,1
1.22,1.54,4.31,5.28,9.6,1.92,1.26,1.12,1.28,1.08,0.88,0.87,0.79,10.64,1.29,1
2.63,1.06,2.38,2.62,5.82,0.73,1.2,0.83,0.5,0.44,0.42,0.53,0.2,1,0.49,1
1.13,2.07,5.31,5.44,6.25,4.1,1.07,1.48,1.32,1.53,1.58,1.03,1.21,7,1.25,1
0.65,0.88,4.59,3.76,8.98,1.92,0.61,1.38,0.63,0.45,0.39,0.77,0.36,8.57,2.05,1
5.68,4.04,14.01,17.17,19.1,5.41,2.24,3.63,5.85,3.95,3.19,2.58,2.64,12,1.92,1
0.95,1.32,6.33,3.85,6.98,1.14,1.59,1.66,1.43,0.51,0.36,0.89,0.5,5.79,0.69,1
1.9,3.64,11.69,10.8,15.84,2.32,1.79,2.54,3.02,1.71,1.45,1.56,0.67,6.23,1.07,1
0.75,0.9,6.12,3.88,6.33,1.86,0.64,1.43,0.53,0.39,0.44,0.75,0.36,5.82,1.84,1
0.8,0.92,13.97,2.31,3.16,2.17,1.2,2.17,1.45,0.67,1.01,0.19,0.52,6.26,0.83,0
0.93,1.4,8.38,4.75,13.79,1.49,1.16,1.16,1.3,0.93,1.26,0.51,0.73,9.78,1.22,0
2.78,2.85,16.28,8.59,18.65,4.08,2.11,2.7,3.23,1.72,2.4,1.76,1.08,12.92,1.58,0
1.46,2.3,4.92,4.85,7.91,0.83,1.9,0.38,0.71,0.82,0.47,0.3,0.7,2.39,0.7,0
1.18,1.75,8.16,3.96,8.12,1.35,0.92,0.75,1.29,0.96,0.84,0.58,0.62,7.45,1.01,1
0.73,0.88,6.37,1.79,3.3,0.82,0.52,0.48,0.54,0.32,0.33,0.45,0.27,4.01,1.32,1
1.61,2.7,7.21,5.96,9.48,1.02,1.43,1.37,1.65,0.74,0.75,0.74,0.62,6.34,0.88,1
2.23,3.69,11.94,8.87,13.97,2.93,1.83,2.27,2.03,1.43,0.97,1.19,0.7,7.27,0.71,1
4.58,3.68,10.46,10.89,13.59,4.84,1.44,3.75,3.49,2.7,2.54,2.03,1.68,10.5,2.31,1
0.86,2.04,7.45,3.59,7.16,1.74,0.93,0.93,1.7,1.37,1.27,0.59,0.65,7.45,1.55,0
1.69,1.35,4.67,4.67,7.13,2.59,0.93,0.91,0.91,0.91,0.78,0.78,0.74,10.38,1.3,0
0.67,0.95,6.44,3.1,4.59,1.78,0.48,0.79,0.43,0.34,0.32,0.44,0.35,8.39,1.52,1
1.46,1.48,3.97,6.25,10.25,1.01,2.32,0.64,0.79,0.63,0.39,0.32,0.56,5,1.01,1
0.88,2.09,6.66,4.46,10.08,3.38,1.27,2.25,1.57,2.26,3.12,1.51,0.69,8.84,1.15,1
1.32,2.46,7.38,5.31,10.16,0.85,1.29,1.54,2.24,0.73,0.76,1,0.52,6.66,0.96,1
